,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
180,28,87,37,295,549,278,Jordan,125,89,73,11,Hill,1513,156,155,645,C,36,IND,1,0,92,548,278
181,24,57,11,127,208,93,Solomon,42,36,59,3,Hill,866,39,68,246,SF,37,IND,74,24,33,134,69
182,22,27,1,40,131,52,Darrun,40,29,38,2,Hilliard,383,5,28,152,SG,9,DET,50,19,19,81,33
183,25,391,22,168,935,410,Jrue,216,182,65,23,Holiday,1831,27,148,1089,PG,88,NOP,259,87,167,676,323
184,21,43,16,115,138,63,Rondae,52,37,29,17,Hollis-Jefferson,615,39,61,167,SF,39,BRK,14,4,26,124,59
185,22,33,40,73,222,114,Richaun,74,51,51,1,Holmes,702,62,92,287,PF,19,PHI,44,8,32,178,106
186,23,213,16,229,972,408,Rodney,200,172,79,79,Hood,2541,38,202,1149,SG,73,UTA,449,161,125,523,247
187,29,263,121,448,1048,529,Al,129,103,82,82,Horford,2631,148,163,1249,C,68,ATL,256,88,107,792,441
188,30,98,113,597,600,372,Dwight,474,232,71,71,Howard,2280,238,219,976,C,69,HOU,6,0,166,594,372
189,32,182,7,72,230,97,Marcelo,29,27,53,0,Huertas,869,18,76,237,PG,26,LAL,61,16,80,169,81
190,24,0,2,8,12,5,Josh,4,0,5,0,Huestis,55,2,3,14,PF,1,OKC,6,4,3,6,1
191,22,13,4,35,98,36,R.J.,7,6,36,0,Hunter,315,2,29,97,SG,14,BOS,63,19,11,35,17
192,26,66,148,392,869,416,Serge,121,91,78,78,Ibaka,2500,141,211,983,PF,38,OKC,184,60,108,685,356
193,32,219,19,211,368,176,Andre,83,51,65,1,Iguodala,1732,52,102,457,SF,73,GSW,154,54,79,214,122
