,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
222,Milwaukee Bucks,92,2013-11-28 01:00:00,Washington Wizards,100
223,Minnesota Timberwolves,110,2013-11-28 01:00:00,Denver Nuggets,117
224,Oklahoma City Thunder,94,2013-11-28 01:00:00,San Antonio Spurs,88
225,Orlando Magic,105,2013-11-28 00:00:00,Philadelphia 76ers,94
226,Phoenix Suns,120,2013-11-28 02:00:00,Portland Trail Blazers,106
227,Atlanta Hawks,88,2013-11-30 00:30:00,Dallas Mavericks,87
228,Boston Celtics,103,2013-11-30 00:30:00,Cleveland Cavaliers,86
229,Charlotte Bobcats,92,2013-11-30 00:00:00,Milwaukee Bucks,76
230,Denver Nuggets,97,2013-11-30 02:00:00,New York Knicks,95
231,Detroit Pistons,102,2013-11-30 00:30:00,Los Angeles Lakers,106
232,Houston Rockets,114,2013-11-30 01:00:00,Brooklyn Nets,95
233,Indiana Pacers,93,2013-11-30 01:00:00,Washington Wizards,73
234,Oklahoma City Thunder,113,2013-11-30 01:00:00,Golden State Warriors,112
235,Orlando Magic,91,2013-11-30 00:00:00,San Antonio Spurs,109
236,Philadelphia 76ers,105,2013-11-30 01:00:00,New Orleans Pelicans,121
237,Sacramento Kings,98,2013-11-30 03:00:00,Los Angeles Clippers,104
238,Toronto Raptors,83,2013-11-30 00:00:00,Miami Heat,90
239,Utah Jazz,101,2013-11-30 02:00:00,Phoenix Suns,112
240,Cleveland Cavaliers,97,2013-12-01 00:30:00,Chicago Bulls,93
241,Dallas Mavericks,106,2013-12-01 01:30:00,Minnesota Timberwolves,112
242,Memphis Grizzlies,88,2013-12-01 01:00:00,Brooklyn Nets,97
243,Milwaukee Bucks,92,2013-12-01 02:00:00,Boston Celtics,85
244,Phoenix Suns,104,2013-12-01 02:00:00,Utah Jazz,112
245,San Antonio Spurs,106,2013-12-01 01:30:00,Houston Rockets,112
246,Washington Wizards,108,2013-12-01 00:00:00,Atlanta Hawks,101
247,Detroit Pistons,115,2013-12-01 20:30:00,Philadelphia 76ers,100
248,Los Angeles Clippers,100,2013-12-01 20:30:00,Indiana Pacers,105
249,Los Angeles Lakers,108,2013-12-02 02:30:00,Portland Trail Blazers,114
250,Miami Heat,99,2013-12-01 23:00:00,Charlotte Bobcats,98
251,New York Knicks,99,2013-12-02 00:30:00,New Orleans Pelicans,103
252,Oklahoma City Thunder,113,2013-12-02 00:00:00,Minnesota Timberwolves,103
253,Sacramento Kings,113,2013-12-01 23:00:00,Golden State Warriors,115
254,Toronto Raptors,98,2013-12-01 18:00:00,Denver Nuggets,112
255,Chicago Bulls,128,2013-12-03 01:00:00,New Orleans Pelicans,131
256,Portland Trail Blazers,106,2013-12-03 03:00:00,Indiana Pacers,102
257,San Antonio Spurs,102,2013-12-03 01:30:00,Atlanta Hawks,100
258,Utah Jazz,109,2013-12-03 02:00:00,Houston Rockets,103
259,Washington Wizards,98,2013-12-03 00:00:00,Orlando Magic,80
260,Boston Celtics,108,2013-12-04 00:30:00,Milwaukee Bucks,100
261,Brooklyn Nets,87,2013-12-04 00:30:00,Denver Nuggets,111
262,Dallas Mavericks,89,2013-12-04 01:30:00,Charlotte Bobcats,82
263,Golden State Warriors,112,2013-12-04 03:30:00,Toronto Raptors,103
264,Memphis Grizzlies,110,2013-12-04 01:00:00,Phoenix Suns,91
265,Miami Heat,97,2013-12-04 00:30:00,Detroit Pistons,107
266,Philadelphia 76ers,126,2013-12-04 00:00:00,Orlando Magic,125
267,Sacramento Kings,95,2013-12-04 03:00:00,Oklahoma City Thunder,97
268,Atlanta Hawks,107,2013-12-05 00:30:00,Los Angeles Clippers,97
269,Cleveland Cavaliers,98,2013-12-05 00:00:00,Denver Nuggets,88
270,Houston Rockets,88,2013-12-05 01:00:00,Phoenix Suns,97
271,Milwaukee Bucks,98,2013-12-05 01:00:00,Detroit Pistons,105
272,New Orleans Pelicans,97,2013-12-05 01:00:00,Dallas Mavericks,100
273,Portland Trail Blazers,111,2013-12-05 03:00:00,Oklahoma City Thunder,104
274,Utah Jazz,86,2013-12-05 02:00:00,Indiana Pacers,95
275,Brooklyn Nets,83,2013-12-06 00:00:00,New York Knicks,113
276,Chicago Bulls,107,2013-12-06 02:30:00,Miami Heat,87
277,Memphis Grizzlies,81,2013-12-06 01:00:00,Los Angeles Clippers,101
278,Atlanta Hawks,108,2013-12-07 00:30:00,Cleveland Cavaliers,89
279,Boston Celtics,106,2013-12-07 00:30:00,Denver Nuggets,98
280,Charlotte Bobcats,105,2013-12-07 00:00:00,Philadelphia 76ers,88
281,Houston Rockets,105,2013-12-07 01:00:00,Golden State Warriors,83
282,New Orleans Pelicans,95,2013-12-07 01:00:00,Oklahoma City Thunder,109
283,New York Knicks,121,2013-12-07 00:30:00,Orlando Magic,83
284,Phoenix Suns,106,2013-12-07 02:00:00,Toronto Raptors,97
285,Portland Trail Blazers,130,2013-12-07 03:00:00,Utah Jazz,98
286,Sacramento Kings,100,2013-12-07 03:00:00,Los Angeles Lakers,106
287,Washington Wizards,105,2013-12-07 00:00:00,Milwaukee Bucks,109
288,Chicago Bulls,75,2013-12-08 01:00:00,Detroit Pistons,92
289,Cleveland Cavaliers,88,2013-12-08 00:30:00,Los Angeles Clippers,82
