,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
330,Chicago Bulls,115,2014-12-13 00:00:00,Portland Trail Blazers,106
331,Memphis Grizzlies,113,2014-12-13 01:00:00,Charlotte Hornets,107
332,Minnesota Timberwolves,92,2014-12-13 01:00:00,Oklahoma City Thunder,111
333,New Orleans Pelicans,119,2014-12-13 01:00:00,Cleveland Cavaliers,114
334,Phoenix Suns,103,2014-12-13 02:00:00,Detroit Pistons,105
335,San Antonio Spurs,110,2014-12-13 02:30:00,Los Angeles Lakers,112
336,Toronto Raptors,106,2014-12-13 00:30:00,Indiana Pacers,94
337,Utah Jazz,95,2014-12-13 02:00:00,Miami Heat,100
338,Washington Wizards,104,2014-12-13 00:00:00,Los Angeles Clippers,96
339,Charlotte Hornets,87,2014-12-14 00:00:00,Brooklyn Nets,114
340,Dallas Mavericks,98,2014-12-13 19:00:00,Golden State Warriors,105
341,Houston Rockets,108,2014-12-14 01:00:00,Denver Nuggets,96
342,Indiana Pacers,85,2014-12-14 00:00:00,Portland Trail Blazers,95
343,Milwaukee Bucks,111,2014-12-14 00:30:00,Los Angeles Clippers,106
344,Orlando Magic,100,2014-12-14 00:00:00,Atlanta Hawks,99
345,Philadelphia 76ers,115,2014-12-14 00:30:00,Memphis Grizzlies,120
346,Sacramento Kings,90,2014-12-14 03:00:00,Detroit Pistons,95
347,Denver Nuggets,91,2014-12-15 01:00:00,San Antonio Spurs,99
348,Miami Heat,75,2014-12-14 23:00:00,Chicago Bulls,93
349,Minnesota Timberwolves,94,2014-12-15 00:00:00,Los Angeles Lakers,100
350,New Orleans Pelicans,122,2014-12-14 23:00:00,Golden State Warriors,128
351,New York Knicks,90,2014-12-15 00:30:00,Toronto Raptors,95
352,Oklahoma City Thunder,112,2014-12-15 00:00:00,Phoenix Suns,88
353,Washington Wizards,93,2014-12-14 23:00:00,Utah Jazz,84
354,Atlanta Hawks,93,2014-12-16 00:30:00,Chicago Bulls,86
355,Cleveland Cavaliers,97,2014-12-16 00:00:00,Charlotte Hornets,88
356,Indiana Pacers,110,2014-12-16 00:00:00,Los Angeles Lakers,91
357,Los Angeles Clippers,113,2014-12-16 03:30:00,Detroit Pistons,91
358,Philadelphia 76ers,87,2014-12-16 00:00:00,Boston Celtics,105
359,Phoenix Suns,94,2014-12-16 02:00:00,Milwaukee Bucks,96
360,Portland Trail Blazers,108,2014-12-16 03:00:00,San Antonio Spurs,95
