,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
150,24,4,13,28,42,17,A.J.,20,9,22,0,Hammons,163,8,21,48,C,1,DAL,10,5,10,32,12
151,24,182,15,189,912,415,Tim,214,164,79,30,Hardaway,2154,35,103,1143,SG,55,ATL,417,149,106,495,266
152,27,907,38,564,1533,674,James,881,746,81,81,Harden,2947,95,215,2356,PG,121,HOU,756,262,464,777,412
153,23,88,70,216,624,314,Maurice,124,77,77,69,Harkless,2223,125,214,773,SF,85,POR,194,68,86,430,246
154,27,2,0,3,12,5,Justin,0,0,3,0,Harper,31,2,2,12,PF,0,PHI,7,2,4,5,3
155,23,64,42,138,345,225,Montrezl,121,76,58,14,Harrell,1064,81,126,527,C,20,HOU,7,1,44,338,224
156,33,136,7,116,341,136,Devin,129,107,65,0,Harris,1087,11,101,437,PG,43,DAL,177,58,57,164,78
157,22,164,8,130,637,320,Gary,134,104,57,56,Harris,1782,48,92,851,SG,71,DEN,255,107,76,382,213
158,25,54,8,131,362,154,Joe,49,35,52,11,Harris,1138,16,121,428,SG,30,BRK,221,85,55,141,69
159,27,2,0,6,15,3,Manny,4,2,4,0,Harris,25,3,1,8,SG,0,DAL,2,0,2,13,3
160,24,142,39,353,1063,511,Tobias,226,190,82,48,Harris,2567,63,133,1321,PF,60,DET,314,109,96,749,402
161,22,3,0,3,4,0,Aaron,2,1,5,0,Harrison,17,0,2,1,SG,0,CHO,2,0,0,2,0
162,22,198,21,113,360,117,Andrew,194,148,72,18,Harrison,1474,23,194,425,PG,53,MEM,156,43,85,204,74
163,36,6,1,28,23,11,Udonis,15,9,16,0,Haslem,130,8,22,31,C,6,MIA,3,0,8,20,11
164,26,252,20,345,1156,545,Gordon,429,362,73,73,Hayward,2516,49,117,1601,SF,73,UTA,374,149,140,782,396
165,29,112,15,151,553,234,Gerald,165,133,72,41,Henderson,1667,34,129,662,SG,40,PHI,173,61,62,380,173
166,26,57,78,203,309,159,John,107,74,58,39,Henson,1123,92,151,392,C,29,MIL,1,0,52,308,159
167,21,29,12,144,224,101,Juan,76,57,62,9,Hernangomez,842,43,62,305,PF,30,DEN,113,46,31,111,55
168,22,96,36,332,465,246,Willy,125,91,72,22,Hernangomez,1324,170,150,587,C,41,NYK,15,4,100,450,242
169,21,62,15,126,330,117,Mario,50,40,65,2,Hezonja,960,20,74,317,SF,30,ORL,144,43,58,186,74
170,34,65,39,187,397,245,Nene,197,116,67,8,Hilario,1198,95,163,609,C,56,HOU,9,3,73,388,242
171,30,204,11,144,606,289,George,196,157,49,49,Hill,1544,23,114,829,PG,50,UTA,233,94,85,373,195
172,29,0,0,6,13,5,Jordan,2,2,7,0,Hill,47,8,9,12,C,1,MIN,0,0,4,13,5
173,25,141,32,256,478,183,Solomon,128,103,80,71,Hill,2374,51,182,563,SF,72,NOP,270,94,82,208,89
174,23,33,2,31,126,47,Darrun,28,21,39,1,Hilliard,381,2,39,127,SG,11,DET,46,12,28,80,35
175,26,488,44,218,893,405,Jrue,168,119,67,61,Holiday,2190,46,133,1029,PG,100,NOP,281,100,194,612,305
176,27,102,31,198,538,233,Justin,80,66,82,4,Holiday,1639,27,109,629,SG,65,NYK,273,97,66,265,136
177,22,154,44,356,542,235,Rondae,253,190,78,50,Hollis-Jefferson,1761,96,177,675,SF,82,BRK,67,15,116,475,220
178,23,58,55,217,412,230,Richaun,103,72,57,17,Holmes,1193,94,136,559,C,42,PHI,77,27,55,335,203
179,24,96,11,186,666,272,Rodney,115,90,59,55,Hood,1593,16,132,748,SG,38,UTA,307,114,65,359,158
180,30,337,86,370,801,379,Al,135,108,68,68,Horford,2193,95,138,952,C,52,BOS,242,86,115,559,293
181,23,0,0,1,0,0,Danuel,0,0,1,0,House,1,0,0,0,SG,0,WAS,0,0,0,0,0
